Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mise en ligne le 25/04/2019       Géographie au 01/01/2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Code géographique;Libellé géographique;Nombre de ménages fiscaux;Nombre de personnes dans les ménages fiscaux;Nbre d'unités de consommation dans les ménages fiscaux;Part des ménages fiscaux imposés (%);1er quartile (€);Médiane (€);3e quartile (€);Ecart interquartile (€);1er décile (€);2e décile (€);3e décile  (€);4e décile (€) ;6e décile (€);7e décile (€);8e décile (€) ;9e décile (€);Rapport interdécile D9/D1;S80/S20;Indice de Gini;Part des salaires et traitements hors chômage (%);Part des indemnités chômage (%);Part des revenus d'activités non salariées (%);Part des pensions, retraites et rentes (%);Part des autres revenus (%);;;;;
CODGEO;LIBGEO;NBMEN14;NBPERS14;NBUC14;PMIMP14;Q114;Q214;Q314;Q3_Q1;D114;D214;D314;D414;D614;D714;D814;D914;RD;S80S2014;GI14;PTSA14;PCHO14;PBEN14;PPEN14;PAUT14;;;;;
21388;Marliens;190;563;347.9;;;22165.0;;;;;;;;;;;;;;;;;;;;;;;
21389;Marmagne;112;242;172.5;;;23722.0;;;;;;;;;;;;;;;;;;;;;;;
21390;Marsannay-la-Côte;2170;5316;3580.2;69;17208.0;22720.0;29734.0;12526.0;12034.0;15938.0;18296.0;20400.0;24998.0;27934.0;32248.0;39148.0;3.3;4.3;0.3;54.3;2.2;5.5;33.0;5.0;;;;;
21391;Marsannay-le-Bois;296;828;527.1;;;25800.0;;;;;;;;;;;;;;;;;;;;;;;
21393;Massingy;57;152;99.5;;;19050.0;;;;;;;;;;;;;;;;;;;;;;;
21394;Massingy-lès-Semur;72;159;111.7;;;20114.0;;;;;;;;;;;;;;;;;;;;;;;
21397;Mavilly-Mandelot;69;164;111.7;;;19536.0;;;;;;;;;;;;;;;;;;;;;;;
21398;Maxilly-sur-Saône;141;353;233.8;;;17814.0;;;;;;;;;;;;;;;;;;;;;;;
21399;Meilly-sur-Rouvres;84;182;126.4;;;23336.0;;;;;;;;;;;;;;;;;;;;;;;
21401;Meloisey;151;337;234.3;;;23472.0;;;;;;;;;;;;;;;;;;;;;;;
21404;Ménétreux-le-Pitois;183;441;300.9;;;20954.0;;;;;;;;;;;;;;;;;;;;;;;
21405;Merceuil;319;849;547.2;;;21986.0;;;;;;;;;;;;;;;;;;;;;;;
21406;Mesmont;89;247;156.5;;;25542.0;;;;;;;;;;;;;;;;;;;;;;;
21407;Messanges;87;245;158.2;;;23274.0;;;;;;;;;;;;;;;;;;;;;;;
21408;Messigny-et-Vantoux;575;1437;960.9;;;30634.0;;;;;;;;;;;;;;;;;;;;;;;
21409;Meuilley;194;474;317.3;;;23672.0;;;;;;;;;;;;;;;;;;;;;;;
21411;Meursanges;209;549;360.2;;;23544.0;;;;;;;;;;;;;;;;;;;;;;;
21412;Meursault;643;1442;999.0;;;23906.0;;;;;;;;;;;;;;;;;;;;;;;
21413;Millery;161;392;265.4;;;22358.0;;;;;;;;;;;;;;;;;;;;;;;
21414;Mimeure;126;324;212.0;;;20458.0;;;;;;;;;;;;;;;;;;;;;;;
21415;Minot;87;182;129.9;;;22693.0;;;;;;;;;;;;;;;;;;;;;;;
21416;Mirebeau-sur-Bèze;805;2006;1321.4;58;15076.0;20392.0;26847.0;11771.0;9496.0;13230.0;16052.0;18292.0;22750.0;25406.0;28484.0;35906.0;3.8;4.9;0.3;60.0;2.6;6.5;26.7;4.2;;;;;
21417;Missery;54;103;75.0;;;17914.0;;;;;;;;;;;;;;;;;;;;;;;
21419;Molesme;113;268;180.7;;;17394.0;;;;;;;;;;;;;;;;;;;;;;;
21420;Molinot;78;163;116.6;;;18108.0;;;;;;;;;;;;;;;;;;;;;;;
21421;Moloy;98;240;159.3;;;19454.0;;;;;;;;;;;;;;;;;;;;;;;
21422;Molphey;53;133;89.3;;;18904.0;;;;;;;;;;;;;;;;;;;;;;;
21423;Montagny-lès-Beaune;284;679;465.2;;;24090.0;;;;;;;;;;;;;;;;;;;;;;;
21424;Montagny-lès-Seurre;49;109;75.0;;;21070.0;;;;;;;;;;;;;;;;;;;;;;;
21425;Montbard;2502;5049;3633.7;49;11770.0;17776.0;24078.0;12308.0;5370.0;10068.0;12932.0;15390.0;19768.0;22562.0;25716.0;31152.0;5.8;7.5;0.3;52.1;3.0;4.0;37.9;3.0;;;;;
21426;Montberthault;101;231;158.9;;;19462.0;;;;;;;;;;;;;;;;;;;;;;;
21427;Montceau-et-Écharnant;79;182;123.7;;;22383.0;;;;;;;;;;;;;;;;;;;;;;;
21428;Monthelie;71;161;111.8;;;20568.0;;;;;;;;;;;;;;;;;;;;;;;
21429;Montigny-Montfort;128;301;207.6;;;21474.0;;;;;;;;;;;;;;;;;;;;;;;
21431;Montigny-sur-Armançon;69;157;109.0;;;24792.0;;;;;;;;;;;;;;;;;;;;;;;
21432;Montigny-sur-Aube;126;259;185.3;;;19058.0;;;;;;;;;;;;;;;;;;;;;;;
21433;Montigny-Mornay-Villeneuve-sur-Vingeanne;165;407;275.4;;;19170.0;;;;;;;;;;;;;;;;;;;;;;;
21434;Montlay-en-Auxois;79;178;120.2;;;17196.0;;;;;;;;;;;;;;;;;;;;;;;
21435;Montliot-et-Courcelles;124;281;194.8;;;20236.0;;;;;;;;;;;;;;;;;;;;;;;
21436;Montmain;50;136;86.4;;;18956.0;;;;;;;;;;;;;;;;;;;;;;;
21437;Montmançon;88;245;154.1;;;21502.0;;;;;;;;;;;;;;;;;;;;;;;
21439;Montoillot;41;105;68.7;;;21636.0;;;;;;;;;;;;;;;;;;;;;;;
21440;Montot;85;216;144.3;;;22862.0;;;;;;;;;;;;;;;;;;;;;;;
21441;Mont-Saint-Jean;124;235;174.1;;;16652.0;;;;;;;;;;;;;;;;;;;;;;;
21442;Morey-Saint-Denis;292;687;470.0;;;26698.0;;;;;;;;;;;;;;;;;;;;;;;
21445;La Motte-Ternant;85;156;117.5;;;20944.0;;;;;;;;;;;;;;;;;;;;;;;
21446;Moutiers-Saint-Jean;81;186;125.9;;;19741.0;;;;;;;;;;;;;;;;;;;;;;;
21449;Nan-sous-Thil;90;183;130.7;;;18182.0;;;;;;;;;;;;;;;;;;;;;;;
21450;Nantoux;77;177;122.6;;;23834.0;;;;;;;;;;;;;;;;;;;;;;;
21452;Neuilly-lès-Dijon;687;1724;1151.1;;;21768.0;;;;;;;;;;;;;;;;;;;;;;;
21454;Nicey;65;122;91.7;;;19462.0;;;;;;;;;;;;;;;;;;;;;;;
21455;Nod-sur-Seine;91;229;153.6;;;19014.0;;;;;;;;;;;;;;;;;;;;;;;
21456;Nogent-lès-Montbard;71;168;114.5;;;21213.0;;;;;;;;;;;;;;;;;;;;;;;
21458;Noiron-sous-Gevrey;354;1061;664.5;;;23758.0;;;;;;;;;;;;;;;;;;;;;;;
21459;Noiron-sur-Bèze;93;248;162.0;;;21626.0;;;;;;;;;;;;;;;;;;;;;;;
21461;Nolay;627;1342;945.4;;;19410.0;;;;;;;;;;;;;;;;;;;;;;;
21462;Norges-la-Ville;312;875;560.7;;;27508.0;;;;;;;;;;;;;;;;;;;;;;;
21464;Nuits-Saint-Georges;2487;5380;3771.5;58;13924.0;20450.0;28584.0;14660.0;8720.0;12424.0;15382.0;17992.0;22874.0;26106.0;31450.0;40888.0;4.7;6.4;0.3;54.4;2.5;7.8;28.3;7.0;;;;;
21467;Oisilly;51;115;80.0;;;19464.0;;;;;;;;;;;;;;;;;;;;;;;
21469;Orgeux;186;480;318.7;;;24256.0;;;;;;;;;;;;;;;;;;;;;;;
21472;Orville;80;180;124.2;;;21592.0;;;;;;;;;;;;;;;;;;;;;;;
21473;Ouges;359;887;601.5;;;22942.0;;;;;;;;;;;;;;;;;;;;;;;
21474;Pagny-la-Ville;182;428;290.6;;;18478.0;;;;;;;;;;;;;;;;;;;;;;;
21475;Pagny-le-Château;198;526;345.6;;;18966.0;;;;;;;;;;;;;;;;;;;;;;;
21476;Painblanc;71;144;103.1;;;18046.0;;;;;;;;;;;;;;;;;;;;;;;
21478;Pasques;116;301;199.0;;;24714.0;;;;;;;;;;;;;;;;;;;;;;;
21479;Pellerey;44;103;70.1;;;17366.0;;;;;;;;;;;;;;;;;;;;;;;
21480;Pernand-Vergelesses;120;264;186.0;;;25880.0;;;;;;;;;;;;;;;;;;;;;;;
21481;Perrigny-lès-Dijon;750;1791;1220.6;;;25186.0;;;;;;;;;;;;;;;;;;;;;;;
21482;Perrigny-sur-l'Ognon;283;673;451.8;;;19546.0;;;;;;;;;;;;;;;;;;;;;;;
21483;Pichanges;97;297;181.0;;;25456.0;;;;;;;;;;;;;;;;;;;;;;;
21485;Plombières-lès-Dijon;1141;2683;1824.9;61;14306.0;20750.0;27698.0;13392.0;9280.0;12864.0;15752.0;18352.0;23408.0;26144.0;29676.0;36390.0;3.9;4.8;0.3;62.6;3.5;3.0;28.1;2.8;;;;;
21486;Pluvault;208;542;356.6;;;23004.0;;;;;;;;;;;;;;;;;;;;;;;
21487;Pluvet;162;433;280.0;;;21884.0;;;;;;;;;;;;;;;;;;;;;;;
21488;Poinçon-lès-Larrey;87;199;136.4;;;16282.0;;;;;;;;;;;;;;;;;;;;;;;
21490;Poiseul-la-Ville-et-Laperrière;74;164;114.8;;;16641.0;;;;;;;;;;;;;;;;;;;;;;;
21492;Pommard;218;523;353.5;;;24868.0;;;;;;;;;;;;;;;;;;;;;;;
21493;Poncey-lès-Athée;218;579;374.5;;;19818.0;;;;;;;;;;;;;;;;;;;;;;;
21495;Pont;43;115;73.2;;;21926.0;;;;;;;;;;;;;;;;;;;;;;;
21496;Pontailler-sur-Saône;576;1287;888.3;;;19016.0;;;;;;;;;;;;;;;;;;;;;;;
21497;Pont-et-Massène;93;220;151.3;;;24528.0;;;;;;;;;;;;;;;;;;;;;;;
21499;Pothières;77;192;126.7;;;18068.0;;;;;;;;;;;;;;;;;;;;;;;
21500;Pouillenay;237;584;386.9;;;19516.0;;;;;;;;;;;;;;;;;;;;;;;
21501;Pouilly-en-Auxois;667;1407;989.2;;;19146.0;;;;;;;;;;;;;;;;;;;;;;;
21502;Pouilly-sur-Saône;273;645;436.4;;;18978.0;;;;;;;;;;;;;;;;;;;;;;;
21503;Pouilly-sur-Vingeanne;58;127;88.9;;;20064.0;;;;;;;;;;;;;;;;;;;;;;;
21505;Précy-sous-Thil;334;716;500.1;;;18170.0;;;;;;;;;;;;;;;;;;;;;;;
21506;Premeaux-Prissey;177;404;278.0;;;22226.0;;;;;;;;;;;;;;;;;;;;;;;
21507;Premières;55;149;95.2;;;20884.0;;;;;;;;;;;;;;;;;;;;;;;
21508;Prenois;163;425;279.3;;;24864.0;;;;;;;;;;;;;;;;;;;;;;;
21510;Prusly-sur-Ource;75;169;118.2;;;22804.0;;;;;;;;;;;;;;;;;;;;;;;
21511;Puits;54;118;83.0;;;20262.0;;;;;;;;;;;;;;;;;;;;;;;
21512;Puligny-Montrachet;181;412;285.5;;;24372.0;;;;;;;;;;;;;;;;;;;;;;;
21513;Quemigny-Poisot;80;203;136.7;;;25634.0;;;;;;;;;;;;;;;;;;;;;;;
21515;Quetigny;3877;9220;6229.2;61;13376.0;20094.0;27050.0;13674.0;7872.0;11716.0;14894.0;17596.0;22552.0;25512.0;29196.0;35026.0;4.4;5.5;0.3;62.7;3.0;1.4;30.7;2.2;;;;;
21517;Quincey;192;518;335.4;;;24700.0;;;;;;;;;;;;;;;;;;;;;;;
21518;Quincy-le-Vicomte;86;209;139.6;;;20754.0;;;;;;;;;;;;;;;;;;;;;;;
21519;Recey-sur-Ource;168;345;248.1;;;17012.0;;;;;;;;;;;;;;;;;;;;;;;
21520;Remilly-en-Montagne;65;148;99.4;;;22996.0;;;;;;;;;;;;;;;;;;;;;;;
21521;Remilly-sur-Tille;318;862;558.6;;;24028.0;;;;;;;;;;;;;;;;;;;;;;;
21522;Renève;174;419;282.2;;;21178.0;;;;;;;;;;;;;;;;;;;;;;;
21523;Reulle-Vergy;55;134;88.1;;;22506.0;;;;;;;;;;;;;;;;;;;;;;;
21525;La Roche-en-Brenil;429;890;634.8;;;17248.0;;;;;;;;;;;;;;;;;;;;;;;
21527;La Rochepot;126;291;199.1;;;21818.0;;;;;;;;;;;;;;;;;;;;;;;
21528;La Roche-Vanneau;63;150;100.1;;;20040.0;;;;;;;;;;;;;;;;;;;;;;;
21530;Rougemont;77;170;119.1;;;20044.0;;;;;;;;;;;;;;;;;;;;;;;
21531;Rouvray;240;497;353.8;;;17023.0;;;;;;;;;;;;;;;;;;;;;;;
21532;Rouvres-en-Plaine;392;1069;685.2;;;24820.0;;;;;;;;;;;;;;;;;;;;;;;
21534;Ruffey-lès-Beaune;274;739;482.9;;;24222.0;;;;;;;;;;;;;;;;;;;;;;;
21535;Ruffey-lès-Echirey;499;1289;850.4;;;25822.0;;;;;;;;;;;;;;;;;;;;;;;
21536;Sacquenay;126;284;195.2;;;21836.0;;;;;;;;;;;;;;;;;;;;;;;
21537;Saffres;65;124;91.1;;;19596.0;;;;;;;;;;;;;;;;;;;;;;;
21538;Saint-Andeux;57;126;89.7;;;20956.0;;;;;;;;;;;;;;;;;;;;;;;
21540;Saint-Apollinaire;3239;7344;5068.0;72;17896.0;23902.0;31272.0;13376.0;12512.0;16584.0;19232.0;21462.0;26716.0;29582.0;33164.0;39788.0;3.2;3.9;0.3;62.2;2.3;2.7;29.6;3.2;;;;;
21541;Saint-Aubin;107;237;164.6;;;30222.0;;;;;;;;;;;;;;;;;;;;;;;
21542;Saint-Bernard;153;457;281.4;;;22288.0;;;;;;;;;;;;;;;;;;;;;;;
21543;Saint-Broing-les-Moines;80;179;125.3;;;20868.0;;;;;;;;;;;;;;;;;;;;;;;
21545;Sainte-Colombe-sur-Seine;401;886;620.1;;;18532.0;;;;;;;;;;;;;;;;;;;;;;;
21546;Saint-Didier;104;239;166.1;;;19576.0;;;;;;;;;;;;;;;;;;;;;;;
21547;Saint-Euphrône;81;193;132.4;;;21872.0;;;;;;;;;;;;;;;;;;;;;;;
21548;Saint-Germain-de-Modéon;83;166;119.8;;;19590.0;;;;;;;;;;;;;;;;;;;;;;;
21550;Saint-Germain-lès-Senailly;50;116;79.3;;;20578.0;;;;;;;;;;;;;;;;;;;;;;;
21553;Saint-Jean-de-Boeuf;47;114;76.4;;;21948.0;;;;;;;;;;;;;;;;;;;;;;;
21554;Saint-Jean-de-Losne;488;984;700.8;;;14436.0;;;;;;;;;;;;;;;;;;;;;;;
21555;Saint-Julien;530;1428;926.8;;;25370.0;;;;;;;;;;;;;;;;;;;;;;;
21556;Saint-Léger-Triey;90;254;158.1;;;22166.0;;;;;;;;;;;;;;;;;;;;;;;
21557;Saint-Marc-sur-Seine;56;113;82.3;;;18988.0;;;;;;;;;;;;;;;;;;;;;;;
21558;Sainte-Marie-la-Blanche;355;907;596.9;;;23040.0;;;;;;;;;;;;;;;;;;;;;;;
21559;Sainte-Marie-sur-Ouche;267;673;443.8;;;23972.0;;;;;;;;;;;;;;;;;;;;;;;
21560;Saint-Martin-de-la-Mer;143;302;214.5;;;19115.0;;;;;;;;;;;;;;;;;;;;;;;
21561;Saint-Martin-du-Mont;183;457;302.4;;;21544.0;;;;;;;;;;;;;;;;;;;;;;;
21562;Saint-Maurice-sur-Vingeanne;82;221;142.5;;;18988.0;;;;;;;;;;;;;;;;;;;;;;;
21563;Saint-Mesmin;56;129;87.2;;;20110.0;;;;;;;;;;;;;;;;;;;;;;;
21564;Saint-Nicolas-lès-Cîteaux;146;423;269.8;;;21574.0;;;;;;;;;;;;;;;;;;;;;;;
21565;Saint-Philibert;168;458;295.7;;;24428.0;;;;;;;;;;;;;;;;;;;;;;;
21566;Saint-Pierre-en-Vaux;58;119;85.5;;;17128.0;;;;;;;;;;;;;;;;;;;;;;;
21567;Saint-Prix-lès-Arnay;97;227;155.6;;;18064.0;;;;;;;;;;;;;;;;;;;;;;;
21568;Saint-Rémy;332;770;528.5;;;20512.0;;;;;;;;;;;;;;;;;;;;;;;
21569;Saint-Romain;93;232;154.2;;;23558.0;;;;;;;;;;;;;;;;;;;;;;;
21570;Sainte-Sabine;72;154;109.0;;;21174.0;;;;;;;;;;;;;;;;;;;;;;;
21571;Saint-Sauveur;102;256;167.2;;;20326.0;;;;;;;;;;;;;;;;;;;;;;;
21572;Saint-Seine-en-Bâche;131;358;227.2;;;20842.0;;;;;;;;;;;;;;;;;;;;;;;
21573;Saint-Seine-l'Abbaye;150;316;222.7;;;20576.0;;;;;;;;;;;;;;;;;;;;;;;
21574;Saint-Seine-sur-Vingeanne;172;414;277.9;;;19610.0;;;;;;;;;;;;;;;;;;;;;;;
21575;Saint-Symphorien-sur-Saône;146;343;235.1;;;18402.0;;;;;;;;;;;;;;;;;;;;;;;
21576;Saint-Thibault;70;162;108.7;;;16314.0;;;;;;;;;;;;;;;;;;;;;;;
21577;Saint-Usage;510;1328;860.5;;;18172.0;;;;;;;;;;;;;;;;;;;;;;;
21578;Saint-Victor-sur-Ouche;105;297;186.5;;;23648.0;;;;;;;;;;;;;;;;;;;;;;;
21579;Salives;77;188;125.6;;;19470.0;;;;;;;;;;;;;;;;;;;;;;;
21580;Salmaise;62;126;89.8;;;19196.0;;;;;;;;;;;;;;;;;;;;;;;
21581;Samerey;60;151;99.3;;;18532.0;;;;;;;;;;;;;;;;;;;;;;;
21582;Santenay;327;738;508.0;;;21720.0;;;;;;;;;;;;;;;;;;;;;;;
21584;Saulieu;1187;2380;1725.7;47;12030.0;17322.0;25040.0;13010.0;7548.0;10736.0;12990.0;15324.0;19552.0;23090.0;26694.0;34858.0;4.6;6.6;0.3;46.4;2.8;7.7;37.1;6.0;;;;;
21585;Saulon-la-Chapelle;416;1024;688.5;;;22886.0;;;;;;;;;;;;;;;;;;;;;;;
21586;Saulon-la-Rue;250;688;442.8;;;24734.0;;;;;;;;;;;;;;;;;;;;;;;
21587;Saulx-le-Duc;98;245;161.7;;;22030.0;;;;;;;;;;;;;;;;;;;;;;;
21589;Saussy;40;100;67.0;;;19730.0;;;;;;;;;;;;;;;;;;;;;;;
21590;Savigny-lès-Beaune;579;1319;915.0;;;23364.0;;;;;;;;;;;;;;;;;;;;;;;
21591;Savigny-le-Sec;320;845;554.7;;;29148.0;;;;;;;;;;;;;;;;;;;;;;;
21592;Savigny-sous-Mâlain;88;225;147.4;;;24395.0;;;;;;;;;;;;;;;;;;;;;;;
21594;Savoisy;90;205;141.1;;;19850.0;;;;;;;;;;;;;;;;;;;;;;;
21595;Savolles;60;162;104.1;;;22976.0;;;;;;;;;;;;;;;;;;;;;;;
21596;Savouges;127;376;234.0;;;23932.0;;;;;;;;;;;;;;;;;;;;;;;
21598;Seigny;72;183;120.4;;;20270.0;;;;;;;;;;;;;;;;;;;;;;;
21599;Selongey;1010;2456;1640.3;60;14998.0;20900.0;26980.0;11982.0;8826.0;13374.0;16610.0;18450.0;23124.0;25674.0;28452.0;33308.0;3.8;4.7;0.3;58.9;2.3;3.1;32.4;3.3;;;;;
21600;Semarey;48;125;80.5;;;21628.0;;;;;;;;;;;;;;;;;;;;;;;
21601;Semezanges;41;106;70.6;;;25824.0;;;;;;;;;;;;;;;;;;;;;;;
21603;Semur-en-Auxois;1983;3897;2828.3;55;12474.0;18880.0;27306.0;14832.0;5468.0;10694.0;13982.0;16424.0;21614.0;25120.0;29778.0;39034.0;7.1;8.8;0.4;55.8;2.3;5.0;32.4;4.5;;;;;
21604;Senailly;59;140;96.7;;;18360.0;;;;;;;;;;;;;;;;;;;;;;;
21605;Sennecey-lès-Dijon;773;2117;1385.3;73;18008.0;23490.0;29860.0;11852.0;12824.0;16792.0;19194.0;21460.0;25576.0;28666.0;31408.0;36970.0;2.9;3.5;0.2;69.7;2.4;1.5;23.9;2.5;;;;;
21606;Ladoix-Serrigny;700;1862;1209.7;;;22366.0;;;;;;;;;;;;;;;;;;;;;;;
21607;Seurre;1142;2259;1630.8;46;11120.0;17166.0;23854.0;12734.0;6112.0;9676.0;12392.0;14674.0;19816.0;22324.0;25818.0;31488.0;5.2;7.3;0.3;46.4;2.9;4.9;40.8;5.0;;;;;
21608;Sincey-lès-Rouvray;48;102;73.4;;;19851.0;;;;;;;;;;;;;;;;;;;;;;;
21609;Soirans;166;477;304.7;;;21124.0;;;;;;;;;;;;;;;;;;;;;;;
21610;Soissons-sur-Nacey;118;330;209.6;;;18580.0;;;;;;;;;;;;;;;;;;;;;;;
21611;Sombernon;401;925;629.5;;;20078.0;;;;;;;;;;;;;;;;;;;;;;;
21613;Soussey-sur-Brionne;66;157;105.3;;;20578.0;;;;;;;;;;;;;;;;;;;;;;;
21614;Spoy;121;340;214.9;;;23490.0;;;;;;;;;;;;;;;;;;;;;;;
21615;Sussey;109;238;166.4;;;18164.0;;;;;;;;;;;;;;;;;;;;;;;
21616;Tailly;85;204;138.8;;;28776.0;;;;;;;;;;;;;;;;;;;;;;;
21617;Talant;5160;11008;7745.7;62;13300.0;22246.0;32906.0;19606.0;6244.0;11224.0;15070.0;18818.0;25754.0;30380.0;36440.0;47072.0;7.5;10.4;0.4;49.9;2.5;6.3;35.2;6.1;;;;;
21618;Talmay;242;557;377.7;;;18182.0;;;;;;;;;;;;;;;;;;;;;;;
21619;Tanay;95;232;154.0;;;21500.0;;;;;;;;;;;;;;;;;;;;;;;
21620;Tarsul;68;147;104.5;;;23296.0;;;;;;;;;;;;;;;;;;;;;;;
21621;Tart-l'Abbaye;86;216;144.3;;;22140.0;;;;;;;;;;;;;;;;;;;;;;;
21622;Tart-le-Bas;91;236;155.2;;;22398.0;;;;;;;;;;;;;;;;;;;;;;;
21623;Tart-le-Haut;465;1437;880.3;;;22716.0;;;;;;;;;;;;;;;;;;;;;;;
21624;Tellecey;51;143;89.0;;;24640.0;;;;;;;;;;;;;;;;;;;;;;;
21627;Thenissey;46;101;71.7;;;20182.0;;;;;;;;;;;;;;;;;;;;;;;
21629;Thoisy-la-Berchère;131;308;208.2;;;18424.0;;;;;;;;;;;;;;;;;;;;;;;
21630;Thoisy-le-Désert;84;207;136.1;;;21052.0;;;;;;;;;;;;;;;;;;;;;;;
21632;Thorey-en-Plaine;404;1099;711.0;;;22610.0;;;;;;;;;;;;;;;;;;;;;;;
21633;Thorey-sous-Charny;93;184;134.0;;;22418.0;;;;;;;;;;;;;;;;;;;;;;;
21634;Thorey-sur-Ouche;68;129;96.3;;;19380.0;;;;;;;;;;;;;;;;;;;;;;;
21635;Thoste;54;111;80.1;;;19362.0;;;;;;;;;;;;;;;;;;;;;;;
21636;Thury;134;292;204.8;;;17886.0;;;;;;;;;;;;;;;;;;;;;;;
21637;Tichey;82;217;140.3;;;17366.0;;;;;;;;;;;;;;;;;;;;;;;
21638;Til-Châtel;410;1091;704.6;;;21682.0;;;;;;;;;;;;;;;;;;;;;;;
21639;Tillenay;282;741;482.1;;;20338.0;;;;;;;;;;;;;;;;;;;;;;;
21640;Torcy-et-Pouligny;82;193;129.1;;;17820.0;;;;;;;;;;;;;;;;;;;;;;;
21641;Touillon;192;483;319.6;;;20552.0;;;;;;;;;;;;;;;;;;;;;;;
21642;Toutry;200;443;307.1;;;15424.0;;;;;;;;;;;;;;;;;;;;;;;
21643;Tréclun;157;463;284.1;;;20264.0;;;;;;;;;;;;;;;;;;;;;;;
21644;Trochères;60;168;107.9;;;20500.0;;;;;;;;;;;;;;;;;;;;;;;
21645;Trouhans;242;638;413.5;;;18882.0;;;;;;;;;;;;;;;;;;;;;;;
21646;Trouhaut;57;124;87.6;;;21128.0;;;;;;;;;;;;;;;;;;;;;;;
21647;Trugny;57;128;88.4;;;18456.0;;;;;;;;;;;;;;;;;;;;;;;
21648;Turcey;85;193;132.1;;;21864.0;;;;;;;;;;;;;;;;;;;;;;;
21650;Urcy;59;158;101.7;;;22540.0;;;;;;;;;;;;;;;;;;;;;;;
21651;Val-Suzon;84;201;137.1;;;22928.0;;;;;;;;;;;;;;;;;;;;;;;
21652;Vandenesse-en-Auxois;117;300;196.4;;;20020.0;;;;;;;;;;;;;;;;;;;;;;;
21655;Vanvey;123;244;176.5;;;17091.0;;;;;;;;;;;;;;;;;;;;;;;
21656;Varanges;275;754;489.9;;;22576.0;;;;;;;;;;;;;;;;;;;;;;;
21657;Varois-et-Chaignot;763;1970;1308.5;;;29016.0;;;;;;;;;;;;;;;;;;;;;;;
21659;Vaux-Saules;69;174;116.0;;;21390.0;;;;;;;;;;;;;;;;;;;;;;;
21661;Velars-sur-Ouche;675;1680;1124.6;;;24974.0;;;;;;;;;;;;;;;;;;;;;;;
21663;Venarey-les-Laumes;1419;2893;2082.0;52;12940.0;17923.0;23880.0;10940.0;6822.0;11316.0;14024.0;16122.0;19812.0;22238.0;25506.0;30706.0;4.5;5.5;0.3;54.9;3.1;2.9;36.2;2.9;;;;;
21665;Vernois-lès-Vesvres;60;177;111.9;;;17800.0;;;;;;;;;;;;;;;;;;;;;;;
21667;Véronnes;146;392;252.6;;;22804.0;;;;;;;;;;;;;;;;;;;;;;;
21670;Verrey-sous-Salmaise;134;309;209.0;;;17210.0;;;;;;;;;;;;;;;;;;;;;;;
21673;Veuvey-sur-Ouche;82;205;133.6;;;18850.0;;;;;;;;;;;;;;;;;;;;;;;
21674;Veuxhaulles-sur-Aube;113;239;167.2;;;17852.0;;;;;;;;;;;;;;;;;;;;;;;
21676;Vic-de-Chassenay;90;216;145.4;;;18732.0;;;;;;;;;;;;;;;;;;;;;;;
21677;Vic-des-Prés;42;113;70.9;;;15798.0;;;;;;;;;;;;;;;;;;;;;;;
21678;Vic-sous-Thil;99;203;147.3;;;18012.0;;;;;;;;;;;;;;;;;;;;;;;
21679;Vieilmoulin;52;127;84.2;;;19362.0;;;;;;;;;;;;;;;;;;;;;;;
21680;Vielverge;198;485;325.5;;;19854.0;;;;;;;;;;;;;;;;;;;;;;;
21682;Viévigne;91;243;156.5;;;22130.0;;;;;;;;;;;;;;;;;;;;;;;
21683;Viévy;168;347;246.4;;;17922.0;;;;;;;;;;;;;;;;;;;;;;;
21684;Vignoles;318;886;570.6;;;23520.0;;;;;;;;;;;;;;;;;;;;;;;
21685;Villaines-en-Duesmois;127;284;196.9;;;19496.0;;;;;;;;;;;;;;;;;;;;;;;
21686;Villaines-les-Prévôtes;62;140;97.0;;;27897.0;;;;;;;;;;;;;;;;;;;;;;;
21687;Villargoix;74;145;106.9;;;18796.0;;;;;;;;;;;;;;;;;;;;;;;
21688;Villars-Fontaine;49;117;79.9;;;28544.0;;;;;;;;;;;;;;;;;;;;;;;
21689;Villars-et-Villenotte;70;180;120.0;;;26994.0;;;;;;;;;;;;;;;;;;;;;;;
21691;Villebichot;142;394;248.8;;;24170.0;;;;;;;;;;;;;;;;;;;;;;;
21692;Villecomte;99;260;169.3;;;24194.0;;;;;;;;;;;;;;;;;;;;;;;
21698;Villers-la-Faye;173;413;280.6;;;23090.0;;;;;;;;;;;;;;;;;;;;;;;
21699;Villers-les-Pots;429;1133;736.2;;;20386.0;;;;;;;;;;;;;;;;;;;;;;;
21701;Villers-Rotin;56;137;92.3;;;21426.0;;;;;;;;;;;;;;;;;;;;;;;
21702;Villey-sur-Tille;114;284;191.4;;;23682.0;;;;;;;;;;;;;;;;;;;;;;;
21706;Villotte-sur-Ource;47;112;75.9;;;20218.0;;;;;;;;;;;;;;;;;;;;;;;
