Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mise en ligne le 25/04/2019       Géographie au 01/01/2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Code géographique;Libellé géographique;Nombre de ménages fiscaux;Nombre de personnes dans les ménages fiscaux;Nbre d'unités de consommation dans les ménages fiscaux;Part des ménages fiscaux imposés (%);1er quartile (€);Médiane (€);3e quartile (€);Ecart interquartile (€);1er décile (€);2e décile (€);3e décile  (€);4e décile (€) ;6e décile (€);7e décile (€);8e décile (€) ;9e décile (€);Rapport interdécile D9/D1;S80/S20;Indice de Gini;Part des salaires et traitements hors chômage (%);Part des indemnités chômage (%);Part des revenus d'activités non salariées (%);Part des pensions, retraites et rentes (%);Part des autres revenus (%);;;;;
CODGEO;LIBGEO;NBMEN14;NBPERS14;NBUC14;PMIMP14;Q114;Q214;Q314;Q3_Q1;D114;D214;D314;D414;D614;D714;D814;D914;RD;S80S2014;GI14;PTSA14;PCHO14;PBEN14;PPEN14;PAUT14;;;;;
01043;Beynost;1734;4585;3000.8;77;18832.0;26324.0;36388.0;17556.0;13188.0;16856.0;20390.0;23456.0;29726.0;34006.0;39288.0;49648.0;3.8;4.8;0.3;62.5;2.3;5.5;23.7;6.0;;;;;
01044;Billiat;235;600;389.2;;;26254.0;;;;;;;;;;;;;;;;;;;;;;;
01045;Birieux;100;297;183.5;;;23352.0;;;;;;;;;;;;;;;;;;;;;;;
01046;Biziat;316;844;542.2;;;20422.0;;;;;;;;;;;;;;;;;;;;;;;
01047;Blyes;360;1001;636.3;;;25594.0;;;;;;;;;;;;;;;;;;;;;;;
01049;La Boisse;1077;2920;1895.0;74;18184.0;24934.0;33154.0;14970.0;13094.0;16654.0;19484.0;22364.0;27902.0;30830.0;35238.0;42032.0;3.2;4.1;0.3;66.3;2.1;3.8;23.0;4.8;;;;;
01050;Boissey;126;328;211.2;;;17612.0;;;;;;;;;;;;;;;;;;;;;;;
01052;Bouligneux;128;308;209.9;;;25918.0;;;;;;;;;;;;;;;;;;;;;;;
01053;Bourg-en-Bresse;18550;37786;26918.0;53;10218.0;17652.0;25702.0;15484.0;4914.0;8662.0;11798.0;14924.0;20534.0;23726.0;28108.0;35766.0;7.3;9.8;0.4;56.4;3.4;3.6;32.4;4.2;;;;;
01054;Bourg-Saint-Christophe;476;1327;841.6;;;25470.0;;;;;;;;;;;;;;;;;;;;;;;
01056;Boyeux-Saint-Jérôme;148;352;236.4;;;19900.0;;;;;;;;;;;;;;;;;;;;;;;
01057;Boz;196;497;327.0;;;19708.0;;;;;;;;;;;;;;;;;;;;;;;
01058;Brégnier-Cordon;331;832;547.2;;;19774.0;;;;;;;;;;;;;;;;;;;;;;;
01059;Brénaz;42;105;70.7;;;18784.0;;;;;;;;;;;;;;;;;;;;;;;
01060;Brénod;236;555;377.5;;;22300.0;;;;;;;;;;;;;;;;;;;;;;;
01061;Brens;431;1194;765.0;;;22552.0;;;;;;;;;;;;;;;;;;;;;;;
01062;Bressolles;298;810;519.1;;;26724.0;;;;;;;;;;;;;;;;;;;;;;;
01063;Brion;214;526;352.9;;;23566.0;;;;;;;;;;;;;;;;;;;;;;;
01064;Briord;385;971;639.0;;;19672.0;;;;;;;;;;;;;;;;;;;;;;;
01065;Buellas;706;1822;1197.9;;;23940.0;;;;;;;;;;;;;;;;;;;;;;;
01067;Ceignes;109;272;180.9;;;21229.0;;;;;;;;;;;;;;;;;;;;;;;
01068;Cerdon;296;684;464.1;;;19030.0;;;;;;;;;;;;;;;;;;;;;;;
01069;Certines;596;1513;999.8;;;22708.0;;;;;;;;;;;;;;;;;;;;;;;
01071;Cessy;1720;4423;2879.8;63;21086.0;36852.0;54956.0;33870.0;10812.0;18492.0;24372.0;30408.0;43278.0;51328.0;61056.0;79450.0;7.3;10.3;0.4;78.4;2.9;2.4;12.6;3.7;;;;;
01072;Ceyzériat;1257;2996;2010.0;72;17026.0;22996.0;31338.0;14312.0;11278.0;15186.0;18096.0;20462.0;25392.0;29330.0;34408.0;41990.0;3.7;4.8;0.3;62.3;2.3;4.9;25.2;5.3;;;;;
01073;Ceyzérieu;447;1042;711.5;;;21764.0;;;;;;;;;;;;;;;;;;;;;;;
01074;Chalamont;954;2297;1528.9;58;15430.0;20836.0;27862.0;12432.0;10290.0;14136.0;16472.0;18844.0;23268.0;26006.0;30004.0;35674.0;3.5;4.7;0.3;68.1;2.7;3.4;21.2;4.6;;;;;
01075;Chaleins;463;1303;831.8;;;22776.0;;;;;;;;;;;;;;;;;;;;;;;
01076;Chaley;74;149;107.2;;;19164.0;;;;;;;;;;;;;;;;;;;;;;;
01077;Challes-la-Montagne;91;194;135.1;;;20700.0;;;;;;;;;;;;;;;;;;;;;;;
01078;Challex;501;1258;826.8;;;39438.0;;;;;;;;;;;;;;;;;;;;;;;
01079;Champagne-en-Valromey;291;644;443.8;;;19158.0;;;;;;;;;;;;;;;;;;;;;;;
01080;Champdor;187;455;303.3;;;21270.0;;;;;;;;;;;;;;;;;;;;;;;
01081;Champfromier;305;714;484.8;;;22652.0;;;;;;;;;;;;;;;;;;;;;;;
01082;Chanay;211;505;340.0;;;23002.0;;;;;;;;;;;;;;;;;;;;;;;
01083;Chaneins;329;899;578.5;;;22480.0;;;;;;;;;;;;;;;;;;;;;;;
01084;Chanoz-Châtenay;297;810;517.9;;;19786.0;;;;;;;;;;;;;;;;;;;;;;;
01085;La Chapelle-du-Châtelard;145;373;243.9;;;21028.0;;;;;;;;;;;;;;;;;;;;;;;
01087;Charix;117;286;191.1;;;24360.0;;;;;;;;;;;;;;;;;;;;;;;
01088;Charnoz-sur-Ain;328;947;603.1;;;25412.0;;;;;;;;;;;;;;;;;;;;;;;
01089;Château-Gaillard;763;2074;1330.5;64;16310.0;21505.0;28036.0;11726.0;11736.0;14814.0;17410.0;19640.0;23648.0;26496.0;29248.0;34916.0;3.0;3.7;0.2;67.9;3.0;5.0;21.0;3.1;;;;;
01090;Châtenay;147;360;239.3;;;20678.0;;;;;;;;;;;;;;;;;;;;;;;
01091;Châtillon-en-Michaille;1283;3440;2222.5;62;17198.0;25616.0;35934.0;18736.0;11182.0;15610.0;19220.0;22046.0;29056.0;33302.0;39428.0;49764.0;4.5;5.7;0.3;67.5;3.5;3.1;20.2;5.7;;;;;
01092;Châtillon-la-Palud;617;1613;1052.2;;;22296.0;;;;;;;;;;;;;;;;;;;;;;;
01093;Châtillon-sur-Chalaronne;2096;4643;3219.7;58;14766.0;20288.0;27078.0;12312.0;9262.0;13444.0;15900.0;17990.0;22518.0;25314.0;29678.0;37210.0;4.0;5.1;0.3;56.2;3.0;4.1;31.3;5.4;;;;;
01094;Chavannes-sur-Reyssouze;312;774;516.0;;;19816.0;;;;;;;;;;;;;;;;;;;;;;;
01095;Chavannes-sur-Suran;280;666;446.1;;;20221.0;;;;;;;;;;;;;;;;;;;;;;;
01096;Chaveyriat;371;1012;651.3;;;20490.0;;;;;;;;;;;;;;;;;;;;;;;
01097;Chavornay;98;212;150.2;;;20910.0;;;;;;;;;;;;;;;;;;;;;;;
01098;Chazey-Bons;357;914;602.9;;;19102.0;;;;;;;;;;;;;;;;;;;;;;;
01099;Chazey-sur-Ain;610;1491;995.9;;;23880.0;;;;;;;;;;;;;;;;;;;;;;;
01100;Cheignieu-la-Balme;75;153;110.6;;;19200.0;;;;;;;;;;;;;;;;;;;;;;;
01101;Chevillard;66;157;107.7;;;24218.0;;;;;;;;;;;;;;;;;;;;;;;
01102;Chevroux;357;953;612.0;;;21420.0;;;;;;;;;;;;;;;;;;;;;;;
01103;Chevry;551;1404;915.7;;;38222.0;;;;;;;;;;;;;;;;;;;;;;;
01104;Chézery-Forens;190;446;300.5;;;23478.0;;;;;;;;;;;;;;;;;;;;;;;
01105;Civrieux;587;1594;1029.8;;;26564.0;;;;;;;;;;;;;;;;;;;;;;;
01106;Cize;69;169;112.0;;;20378.0;;;;;;;;;;;;;;;;;;;;;;;
01107;Cleyzieu;60;127;88.8;;;21444.0;;;;;;;;;;;;;;;;;;;;;;;
01108;Coligny;490;1076;745.4;;;20556.0;;;;;;;;;;;;;;;;;;;;;;;
01109;Collonges;778;2049;1316.4;47;18708.0;30506.0;44264.0;25556.0;8186.0;15760.0;20356.0;24712.0;35340.0;41504.0;47476.0;60168.0;7.4;9.3;0.4;80.0;3.0;2.0;12.8;2.2;;;;;
01110;Colomieu;65;136;96.9;;;19731.0;;;;;;;;;;;;;;;;;;;;;;;
01111;Conand;52;113;77.7;;;20010.0;;;;;;;;;;;;;;;;;;;;;;;
01112;Condamine;159;436;277.7;;;20788.0;;;;;;;;;;;;;;;;;;;;;;;
01113;Condeissiat;323;810;535.3;;;19088.0;;;;;;;;;;;;;;;;;;;;;;;
01114;Confort;211;531;346.6;;;23850.0;;;;;;;;;;;;;;;;;;;;;;;
01115;Confrançon;529;1315;867.0;;;20314.0;;;;;;;;;;;;;;;;;;;;;;;
01116;Contrevoz;212;497;338.0;;;20104.0;;;;;;;;;;;;;;;;;;;;;;;
01117;Conzieu;55;148;93.9;;;19429.0;;;;;;;;;;;;;;;;;;;;;;;
01118;Corbonod;441;1060;708.2;;;23426.0;;;;;;;;;;;;;;;;;;;;;;;
01119;Corcelles;88;209;141.3;;;19766.0;;;;;;;;;;;;;;;;;;;;;;;
01121;Corlier;45;110;74.0;;;19814.0;;;;;;;;;;;;;;;;;;;;;;;
01122;Cormaranche-en-Bugey;329;795;535.6;;;22850.0;;;;;;;;;;;;;;;;;;;;;;;
01123;Cormoranche-sur-Saône;421;1134;734.0;;;21700.0;;;;;;;;;;;;;;;;;;;;;;;
01124;Cormoz;291;663;456.0;;;20438.0;;;;;;;;;;;;;;;;;;;;;;;
01125;Corveissiat;249;597;401.7;;;21356.0;;;;;;;;;;;;;;;;;;;;;;;
01127;Courmangoux;221;500;342.6;;;21685.0;;;;;;;;;;;;;;;;;;;;;;;
01128;Courtes;120;296;196.1;;;19430.0;;;;;;;;;;;;;;;;;;;;;;;
01129;Crans;107;258;174.7;;;22826.0;;;;;;;;;;;;;;;;;;;;;;;
01130;Cras-sur-Reyssouze;538;1425;916.7;;;21590.0;;;;;;;;;;;;;;;;;;;;;;;
01133;Cressin-Rochefort;162;420;278.8;;;21770.0;;;;;;;;;;;;;;;;;;;;;;;
01134;Crottet;684;1769;1168.4;;;22050.0;;;;;;;;;;;;;;;;;;;;;;;
01135;Crozet;721;1908;1233.0;;;35234.0;;;;;;;;;;;;;;;;;;;;;;;
01136;Cruzilles-lès-Mépillat;325;875;567.5;;;22114.0;;;;;;;;;;;;;;;;;;;;;;;
01138;Culoz;1244;2834;1938.1;53;12634.0;18832.0;24666.0;12032.0;7202.0;10760.0;13838.0;16274.0;20982.0;23428.0;26684.0;32780.0;4.6;5.5;0.3;59.3;3.9;1.9;32.3;2.6;;;;;
01139;Curciat-Dongalon;198;444;303.8;;;17790.0;;;;;;;;;;;;;;;;;;;;;;;
01140;Curtafond;286;757;492.7;;;21770.0;;;;;;;;;;;;;;;;;;;;;;;
01141;Cuzieu;169;430;284.8;;;22778.0;;;;;;;;;;;;;;;;;;;;;;;
01142;Dagneux;1719;4672;2996.9;69;16288.0;22264.0;29672.0;13384.0;11052.0;14692.0;17808.0;20116.0;24972.0;28056.0;31570.0;38360.0;3.5;4.2;0.3;69.6;2.7;3.3;20.8;3.6;;;;;
01143;Divonne-les-Bains;3671;8565;5773.6;70;22882.0;43184.0;70492.0;47610.0;11054.0;19440.0;26390.0;34584.0;52484.0;63530.0;78044.0;103064.0;9.3;12.7;0.4;76.0;2.6;3.2;13.3;4.9;;;;;
01144;Dommartin;339;878;572.2;;;20282.0;;;;;;;;;;;;;;;;;;;;;;;
01145;Dompierre-sur-Veyle;449;1149;755.6;;;20018.0;;;;;;;;;;;;;;;;;;;;;;;
01146;Dompierre-sur-Chalaronne;154;425;269.9;;;21904.0;;;;;;;;;;;;;;;;;;;;;;;
01147;Domsure;191;490;324.3;;;18015.0;;;;;;;;;;;;;;;;;;;;;;;
01148;Dortan;766;1851;1251.2;;;21708.0;;;;;;;;;;;;;;;;;;;;;;;
01149;Douvres;424;1089;716.4;;;25282.0;;;;;;;;;;;;;;;;;;;;;;;
01150;Drom;84;214;140.4;;;21590.0;;;;;;;;;;;;;;;;;;;;;;;
01151;Druillat;465;1133;760.6;;;21718.0;;;;;;;;;;;;;;;;;;;;;;;
01152;Échallon;303;773;507.1;;;24808.0;;;;;;;;;;;;;;;;;;;;;;;
01153;Échenevex;678;1929;1213.8;;;43822.0;;;;;;;;;;;;;;;;;;;;;;;
01154;Étrez;305;819;523.5;;;19710.0;;;;;;;;;;;;;;;;;;;;;;;
01155;Évosges;64;138;96.8;;;18678.0;;;;;;;;;;;;;;;;;;;;;;;
01156;Faramans;286;788;503.2;;;23290.0;;;;;;;;;;;;;;;;;;;;;;;
01157;Fareins;844;2202;1440.7;70;18596.0;24438.0;32408.0;13812.0;13118.0;17072.0;19830.0;22022.0;27330.0;30578.0;34310.0;42622.0;3.2;4.4;0.3;60.9;2.3;4.5;24.2;8.1;;;;;
01158;Farges;354;898;586.1;;;30936.0;;;;;;;;;;;;;;;;;;;;;;;
01159;Feillens;1390;3363;2272.6;63;16030.0;20829.0;28082.0;12052.0;11758.0;14798.0;17198.0;18912.0;23204.0;26182.0;30026.0;36610.0;3.1;3.9;0.3;62.9;2.4;4.6;23.7;6.4;;;;;
01160;Ferney-Voltaire;3447;7422;5151.6;47;8580.0;23887.0;45393.0;36813.0;154.0;6068.0;11560.0;17588.0;31586.0;40138.0;51210.0;68248.0;443.2;48.8;0.5;70.9;2.8;1.5;19.9;4.9;;;;;
01163;Foissiat;808;1996;1333.1;;;20284.0;;;;;;;;;;;;;;;;;;;;;;;
01165;Francheleins;544;1591;990.3;;;22210.0;;;;;;;;;;;;;;;;;;;;;;;
01166;Frans;825;2275;1474.9;74;18778.0;24956.0;31628.0;12850.0;13638.0;17776.0;20189.0;22308.0;27370.0;30180.0;33719.0;40047.0;2.9;3.9;0.3;67.3;2.3;3.9;22.0;4.5;;;;;
01167;Garnerans;250;682;443.6;;;21836.0;;;;;;;;;;;;;;;;;;;;;;;
01169;Genouilleux;217;607;386.3;;;23002.0;;;;;;;;;;;;;;;;;;;;;;;
01170;Béard-Géovreissiat;356;1069;667.0;;;20908.0;;;;;;;;;;;;;;;;;;;;;;;
01171;Géovreisset;324;947;604.6;;;21438.0;;;;;;;;;;;;;;;;;;;;;;;
01172;Germagnat;67;155;105.2;;;18518.0;;;;;;;;;;;;;;;;;;;;;;;
01173;Gex;4588;10738;7218.0;62;17602.0;31726.0;49224.0;31622.0;8080.0;14562.0;20258.0;25566.0;38016.0;44996.0;54186.0;69774.0;8.6;11.1;0.4;80.7;3.1;2.1;11.0;3.1;;;;;
01174;Giron;71;169;113.0;;;21798.0;;;;;;;;;;;;;;;;;;;;;;;
01175;Gorrevod;329;853;556.3;;;18904.0;;;;;;;;;;;;;;;;;;;;;;;
01176;Le Grand-Abergement;58;117;85.5;;;18998.0;;;;;;;;;;;;;;;;;;;;;;;
01177;Grand-Corent;80;188;126.9;;;21070.0;;;;;;;;;;;;;;;;;;;;;;;
01179;Grièges;806;1970;1318.0;;;21226.0;;;;;;;;;;;;;;;;;;;;;;;
01180;Grilly;277;716;469.9;;;38786.0;;;;;;;;;;;;;;;;;;;;;;;
01181;Groissiat;431;1236;782.5;;;22922.0;;;;;;;;;;;;;;;;;;;;;;;
01182;Groslée;149;360;241.3;;;21026.0;;;;;;;;;;;;;;;;;;;;;;;
01183;Guéreins;539;1465;941.1;;;23252.0;;;;;;;;;;;;;;;;;;;;;;;
01184;Hautecourt-Romanèche;347;807;548.1;;;20414.0;;;;;;;;;;;;;;;;;;;;;;;
01185;Hauteville-Lompnes;1525;2996;2181.1;58;14355.0;20436.0;26814.0;12459.0;8268.0;12756.0;15710.0;17924.0;22650.0;25352.0;29126.0;35860.0;4.3;5.4;0.3;54.5;2.4;4.1;34.9;4.1;;;;;
01187;Hotonnes;123;295;198.8;;;19824.0;;;;;;;;;;;;;;;;;;;;;;;
01188;Illiat;219;642;401.3;;;21414.0;;;;;;;;;;;;;;;;;;;;;;;
01189;Injoux-Génissiat;443;1123;738.9;;;25602.0;;;;;;;;;;;;;;;;;;;;;;;
01191;Izenave;71;178;117.6;;;18400.0;;;;;;;;;;;;;;;;;;;;;;;
01192;Izernore;906;2311;1516.5;64;14570.0;20588.0;27034.0;12464.0;9430.0;12844.0;15846.0;18544.0;23022.0;25704.0;28486.0;35420.0;3.8;4.9;0.3;68.9;3.0;3.2;19.3;5.6;;;;;
01193;Izieu;98;229;156.7;;;20654.0;;;;;;;;;;;;;;;;;;;;;;;
01194;Jassans-Riottier;2489;6101;4077.5;61;14856.0;21302.0;28434.0;13578.0;9378.0;13320.0;16342.0;18800.0;23632.0;26438.0;30554.0;37606.0;4.0;5.0;0.3;63.6;3.0;3.5;26.6;3.3;;;;;
01195;Jasseron;636;1689;1090.5;;;22602.0;;;;;;;;;;;;;;;;;;;;;;;
01196;Jayat;435;1135;733.1;;;20454.0;;;;;;;;;;;;;;;;;;;;;;;
01197;Journans;143;347;234.6;;;26762.0;;;;;;;;;;;;;;;;;;;;;;;
01198;Joyeux;98;263;168.7;;;19790.0;;;;;;;;;;;;;;;;;;;;;;;
01199;Jujurieux;862;2013;1359.9;57;14152.0;20090.0;26550.0;12398.0;9190.0;12776.0;15416.0;17574.0;22660.0;24998.0;28650.0;34814.0;3.8;4.4;0.3;64.0;3.0;3.1;26.8;3.1;;;;;
01200;Labalme;79;202;131.6;;;18304.0;;;;;;;;;;;;;;;;;;;;;;;
01202;Lagnieu;3042;7110;4819.8;60;14621.0;20494.0;27456.0;12835.0;9222.0;13182.0;16030.0;18290.0;22708.0;25496.0;29598.0;36650.0;4.0;4.9;0.3;61.6;3.1;3.8;27.8;3.7;;;;;
01203;Laiz;478;1260;824.9;;;21118.0;;;;;;;;;;;;;;;;;;;;;;;
01204;Lalleyriat;95;253;165.6;;;19494.0;;;;;;;;;;;;;;;;;;;;;;;
01205;Lancrans;420;1011;680.2;;;23664.0;;;;;;;;;;;;;;;;;;;;;;;
01206;Lantenay;109;278;183.1;;;23788.0;;;;;;;;;;;;;;;;;;;;;;;
01207;Lapeyrouse;117;347;216.6;;;23288.0;;;;;;;;;;;;;;;;;;;;;;;
